postal_code,status,region_mm,region_en,township_mm,township_en,locality_mm,locality_en,inferred_locality_type,matched_township_id,matched_local_admin_area_id,name_evidence,match_method,duplicate_extra_source_rows,source_row_count_en,source_row_count_my,reason
0422223,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ဒန့်ဒီး ကျေးရွာအုပ်စု,Dant Dee Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422224,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,အိုင်းမ ကျေးရွာအုပ်စု,Aing Ma Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422225,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ဟင်းခွက်ကုံး ကျေးရွာအုပ်စု,Hin Khwet Kone Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422226,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,အုံးနှောက် ကျေးရွာအုပ်စု,Ohn Hnauk Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422227,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ကျင်း ကျေးရွာအုပ်စု,Kyin Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422228,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ရင်ရောင်း ကျေးရွာအုပ်စု,Yin Yaung Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422229,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,သံပုရာ ကျေးရွာအုပ်စု,Than Pu Yar Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422230,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ဒေါသာ ကျေးရွာအုပ်စု,Daw Thar Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422231,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ညောင်ကန် ကျေးရွာအုပ်စု,Nyaung Kan Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422232,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ကဇွန်းထောင့် ကျေးရွာအုပ်စု,Ka Zun Htaunt Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422233,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ရေမျက်နီ ကျေးရွာအုပ်စု,Yae Myet Ni Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422234,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ကျောက်စာရေး ကျေးရွာအုပ်စု,Kyauk Sar Yay Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422235,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ဝါးဘိုးချောင် ကျေးရွာအုပ်စု,War Bo Chaung Village Tract,village_tract,6927,,exact_my,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422236,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,အထက်ကျော် ကျေးရွာအုပ်စု,Ah Htet Kyaw Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422237,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,တောရောင်း ကျေးရွာအုပ်စု,Taw Yaung Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422238,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,အကြည်ဘန်း ကျေးရွာအုပ်စု,Ah Kyi Ban Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422239,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ကျောက်ထု ကျေးရွာအုပ်စု,Kyauk Htu Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422240,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ပလိန်ကိုင်း ကျေးရွာအုပ်စု,Pa Lein Kaing Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422241,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,အညှာဝါးဘင်း ကျေးရွာအုပ်စု,Ah Hnyar War Bin Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422242,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,နတ်အင်း ကျေးရွာအုပ်စု,Nat Inn Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422243,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ဆင်ထိုး ကျေးရွာအုပ်စု,Sin Htoe Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422244,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,အောက်ကျော် ကျေးရွာအုပ်စု,Auk Kyaw Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422245,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,အုံးထွဲ ကျေးရွာအုပ်စု,Ohn Htwea Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422246,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,မင်းလယ် ကျေးရွာအုပ်စု,Min Lel Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422247,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ကင်းပန်း ကျေးရွာအုပ်စု,Kin Pan Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422248,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,လက်ပန် ကျေးရွာအုပ်စု,Let Pan Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422249,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,အညာတော ကျေးရွာအုပ်စု,Ah Nyar Taw Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422250,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,အင်းနား ကျေးရွာအုပ်စု,Inn Nar Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422251,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,လယ်ကန်း ကျေးရွာအုပ်စု,Lel Kan Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422252,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,တောမ ကျေးရွာအုပ်စု,Taw Ma Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422253,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ရှဲ ကျေးရွာအုပ်စု,Shea Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422254,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ဝက်သက်ရွာမ ကျေးရွာအုပ်စု,Wet Thet Ywar Ma Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422255,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,နွယ်ပျဉ်း ကျေးရွာအုပ်စု,Nwe Pyin Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422256,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ရေရှင် ကျေးရွာအုပ်စု,Yae Shin Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422257,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ပဇင်းချောင် ကျေးရွာအုပ်စု,Pa Zin Chaung Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422258,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ဆွဲလွဲ ကျေးရွာအုပ်စု,Swea Lwe Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422259,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ခပေါင်းတော ကျေးရွာအုပ်စု,Kha Paung Taw Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422260,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ကြာဥယျာဉ် ကျေးရွာအုပ်စု,Kyar U Yin Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422261,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,အုံးတော ကျေးရွာအုပ်စု,Ohn Taw Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422262,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ရှော်ဖြူပင် ကျေးရွာအုပ်စု,Shaw Hpyu Pin Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422263,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ဝက်သက်မြောက် ကျေးရွာအုပ်စု,Wet Thet Myauk Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422264,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,မျက်မြှောင် ကျေးရွာအုပ်စု,Myet Hmaung Village Tract,village_tract,6927,,exact_my,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422265,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,မြစ်ကိုင်း ကျေးရွာအုပ်စု,Myit Kaing Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422266,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ညောင် ကျေးရွာအုပ်စု,Nyaung Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422267,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ရေပုတ် ကျေးရွာအုပ်စု,Yae Poke Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422268,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,စင်းစယ် ကျေးရွာအုပ်စု,Sin Sei Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422269,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,ညှစ်ရှောက် ကျေးရွာအုပ်စု,Hnyit Shauk Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0422270,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ထီးလင်း မြို့နယ်,Tilin Township,တိ ကျေးရွာအုပ်စု,Ti Village Tract,village_tract,6927,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0423001,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,အောင်တံခွန် ရပ်ကွက်,Aung Ta Khon Quarter,ward,6929,,no_exact_or_fuzzy,missing_local,0,1,1,"Township 6929 resolved, but no exact approved ward/village-tract identity matched; will not invent admin from postal text"
0423002,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,အောင်တော်မူ ရပ်ကွက်,Aung Taw Mu Quarter,ward,6929,,no_exact_or_fuzzy,missing_local,0,1,1,"Township 6929 resolved, but no exact approved ward/village-tract identity matched; will not invent admin from postal text"
0423003,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,အောင်ချမ်းသာ ရပ်ကွက်,Aung Chan Thar Quarter,ward,6929,,no_exact_or_fuzzy,missing_local,0,1,1,"Township 6929 resolved, but no exact approved ward/village-tract identity matched; will not invent admin from postal text"
0423004,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,ရွှေပေါက်ပင် ရပ်ကွက်,Shwe Pauk Pin Quarter,ward,6929,,no_exact_or_fuzzy,missing_local,0,1,1,"Township 6929 resolved, but no exact approved ward/village-tract identity matched; will not invent admin from postal text"
0423200,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,ထန်းတပင် ကျေးရွာအုပ်စု,Htan Ta Pin Village Tract,village_tract,6929,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0423201,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,အိုင့်ကိုင်း ကျေးရွာအုပ်စု,Aint Kaing Village Tract,village_tract,6929,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0423202,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,သံပရာအိုင့် ကျေးရွာအုပ်စု,Than Pu Yar Aint Village Tract,village_tract,6929,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0423203,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,ဘုရားတောင် ကျေးရွာအုပ်စု,Hpa Yar Taung Village Tract,village_tract,6929,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0423204,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,ဒီးဒုတ်ကွင်း ကျေးရွာအုပ်စု,Dee Doke Kwin Village Tract,village_tract,6929,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0423205,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,ဘိုးဖြူလုံးကန် ကျေးရွာအုပ်စု,Boe Hpyu Lone Kan Village Tract,village_tract,6929,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0423206,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,ခင်ရှည် ကျေးရွာအုပ်စု,Khin Shey Village Tract,village_tract,6929,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0423207,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,တယ်ပင်ကန် ကျေးရွာအုပ်စု,Tei Pin Kan Village Tract,village_tract,6929,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0423208,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,တောင်မြင့် ကျေးရွာအုပ်စု,Taung Myint Village Tract,village_tract,6929,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0423209,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,ဇီးဖြူကုန်း ကျေးရွာအုပ်စု,Zee Hpyu Kone Village Tract,village_tract,6929,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0423210,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,တဲတော်ယာ ကျေးရွာအုပ်စု,Te Taw Yar Village Tract,village_tract,6929,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0423211,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,ချောင်းနား ကျေးရွာအုပ်စု,Chaung Nar Village Tract,village_tract,6929,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0423212,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,ကိုင်းလယ် ကျေးရွာအုပ်စု,Kaing Lel Village Tract,village_tract,6929,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0423213,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,တပ်ကုန်း ကျေးရွာအုပ်စု,Tat Kone Village Tract,village_tract,6929,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0423214,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,တောင်ဘက် ကျေးရွာအုပ်စု,Taung Bet Village Tract,village_tract,6929,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0423215,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,ကင်းဆုတ် ကျေးရွာအုပ်စု,Kin Soke Village Tract,village_tract,6929,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0423216,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,ကင်းမ ကျေးရွာအုပ်စု,Kin Ma Village Tract,village_tract,6929,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0423217,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,တောင်ချို ကျေးရွာအုပ်စု,Taung Cho Village Tract,village_tract,6929,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0423218,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,တစူး ကျေးရွာအုပ်စု,Ta Su Village Tract,village_tract,6929,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0423219,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,သက္ကယ်ကျင်း ကျေးရွာအုပ်စု,Thet Kei Kyin Village Tract,village_tract,6929,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0423220,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,အင်းတော ကျေးရွာအုပ်စု,Inn Taw Village Tract,village_tract,6929,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0423221,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,သပွတ်စု ကျေးရွာအုပ်စု,Tha Put Su Village Tract,village_tract,6929,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0423222,missing_local_area,မကွေးတိုင်းဒေသကြီး,Magway Region,ပေါက် မြို့နယ်,Pauk Township,လယ်လန်း ကျေးရွာအုပ်စု,Lel Lan Village Tract,village_tract,6929,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
